Způsob_koupě,Typ_obydlení,Počet_pokojů,Typ_kuchyně,Velikost_bytu,Cena,Ulice,Kraj
prodej,bytu,3,k,60,10129050,"Pražská, Praha 10 - Hostivař",1
prodej,bytu,1,k,32,6900000,"Počernická, Praha 10",1
prodej,bytu,2,k,51,6499000,Praha 10 - Vršovice,1
prodej,bytu,3,k,69,7490000,"Přímětická, Praha 4 - Michle",1
prodej,bytu,2,1,52,5250000,"Šumperská, Praha 9 - Letňany",1
prodej,bytu,1,k,39,6485218,"Radlická, Praha 5 - Radlice",1
prodej,bytu,3,k,138,11000000,"Sazovická, Praha 5 - Zličín",1
prodej,bytu,4,k,84,8850000,"Brichtova, Praha 5 - Hlubočepy",1
prodej,bytu,4,k,116,13500000,"Na Neklance, Praha 5 - Smíchov",1
prodej,bytu,4,k,115,16780000,"Českobrodská, Praha 9 - Hostavice",1
prodej,bytu,4,1,83,6650000,"V průčelí, Praha 4 - Chodov",1
prodej,bytu,2,1,56,6450000,"Kladenská, Praha 6 - Vokovice",1
prodej,bytu,2,k,59,9250000,"U libeňského pivovaru, Praha 8 - Libeň",1
prodej,bytu,4,k,225,29000000,"Krejčího, Praha 8 - Libeň",1
prodej,bytu,4,k,130,26500000,"Kozácká, Praha 10 - Vršovice",1
prodej,bytu,2,k,93,8990000,"Zvěřinova, Praha 3 - Strašnice, okres Praha",1
prodej,bytu,3,k,101,18400000,"U Blaženky, Praha 5 - Smíchov",1
prodej,bytu,2,k,49,9400000,"Urxova, Praha 8 - Karlín",1
prodej,bytu,3,k,73,9490000,"Chlebovická, Praha 9 - Letňany",1
prodej,bytu,3,k,136,0,"Na dračkách, Praha 6 - Střešovice",1
prodej,bytu,3,k,83,15002600,"Radlická, Praha 5 - Radlice",1
prodej,bytu,1,k,35,5676350,"Pražská, Praha 10 - Hostivař",1
prodej,bytu,3,k,117,11997000,"Kakosova, Praha 5 - Řeporyje",1
prodej,bytu,3,1,95,0,"Lužická, Praha 2 - Vinohrady, okres Praha",1
prodej,bytu,3,k,115,14140000,"Horní náměstí, Praha 6 - Lysolaje",1
prodej,bytu,3,k,104,9000000,"Golčova, Praha 4 - Kunratice, okres Praha",1
prodej,bytu,3,k,97,11150000,"Kryšpínova, Praha 10 - Dolní Měcholupy, okres Praha",1
prodej,bytu,2,k,62,9900000,"Olšanská, Praha 3 - Žižkov",1
prodej,bytu,4,k,106,11490000,"Kazašská, Praha 10 - Vršovice",1
prodej,bytu,3,k,82,15998000,"Radlická, Praha 5 - Radlice",1
prodej,bytu,4,k,108,15400000,"V kapslovně, Praha 3 - Žižkov",1
prodej,bytu,3,k,90,17300000,"Lerausova, Praha 5 - Košíře",1
prodej,bytu,1,k,34,6600000,"Dolnokrčská, Praha 4 - Krč",1
prodej,bytu,3,1,71,5500000,"Kurzova, Praha 5 - Stodůlky",1
prodej,bytu,3,1,71,6360000,"Pod dálnicí, Praha 4 - Michle",1
prodej,bytu,2,1,51,7500000,"Počernická, Praha 10 - Malešice",1
prodej,bytu,1,k,39,6542600,"Radlická, Praha 5 - Radlice",1
prodej,bytu,3,1,65,5270000,Praha 9 - Prosek,1
prodej,bytu,1,k,35,6490000,"Plzeňská, Praha 5 - Košíře, okres Praha",1
prodej,bytu,2,1,63,7490000,"U Klavírky, Praha 5 - Smíchov",1
prodej,bytu,2,k,61,7990000,"Na sypkém, Praha 8 - Libeň, okres Praha",1
prodej,bytu,5,k,130,18990000,"Žitná, Praha 1 - Nové Město",1
prodej,bytu,1,k,35,5676350,"Pražská, Praha 10 - Hostivař",1
prodej,bytu,3,k,71,12990000,"Kováříkova, Praha 5 - Hlubočepy",1
prodej,bytu,3,k,103,12299000,"Zakšínská, Praha 9 - Střížkov",1
prodej,bytu,3,k,86,9300000,"Kardausova, Praha 10 - Dolní Měcholupy",1
prodej,bytu,2,k,48,7700000,"Hlučkova, Praha 9 - Letňany",1
prodej,bytu,2,k,46,7700000,"Hlučkova, Praha 9 - Letňany",1
prodej,bytu,1,k,47,3990000,"Malá Plynární, Praha 7 - Holešovice",1
prodej,bytu,2,k,55,7262352,"Čakovická, Praha 9 - Prosek",1
prodej,bytu,2,k,62,7649600,"Tupolevova, Praha 9 - Letňany",1
prodej,bytu,4,k,139,31900000,"Kačírkova, Praha 5 - Jinonice",1
prodej,bytu,3,k,75,13478000,"U průhonu, Praha 7 - Holešovice",1
prodej,bytu,1,k,32,5747700,"U průhonu, Praha 7 - Holešovice",1
prodej,bytu,2,k,44,8531850,"U průhonu, Praha 7 - Holešovice",1
prodej,bytu,1,k,38,6162612,"Radlická, Praha 5 - Radlice",1
prodej,bytu,3,1,68,4990000,"Bajgarova, Praha 9 - Kyje",1
prodej,bytu,1,k,43,7080406,"V háji, Praha 7 - Holešovice",1
prodej,bytu,3,k,109,16990000,"Křišťanova, Praha 3 - Žižkov",1
prodej,bytu,3,k,100,18990000,"Rubešova, Praha 2 - Vinohrady",1
prodej,bytu,3,k,139,12900000,"Tupolevova, Praha 9 - Letňany",1
prodej,bytu,2,k,56,6580000,"Českobrodská, Praha 9 - Hostavice",1
prodej,bytu,3,1,69,6190000,"Žiželická, Praha 9 - Újezd nad Lesy",1
prodej,bytu,4,k,90,12342710,"Pražská, Praha 10 - Hostivař",1
prodej,bytu,4,k,111,14450000,"Podzámecká, Praha 9 - Koloděje",1
prodej,bytu,1,k,30,4900000,"Drahňovická, Praha 4 - Chodov",1
prodej,bytu,1,k,36,6969000,"Pod Barvířkou, Praha 5 - Smíchov",1
prodej,bytu,2,k,46,6790000,"Olgy Havlové, Praha 3 - Žižkov",1
prodej,bytu,2,1,58,0,"Olbrachtova, Praha 4 - Krč",1
prodej,bytu,2,k,79,9140000,Praha 3,1
