Způsob_koupě,Typ_obydlení,Počet_pokojů,Typ_kuchyně,Velikost_bytu,Cena,Ulice,Kraj
pronájem,bytu,3,1,100,13000,"Na hlavní, Praha 8 - Březiněves",1
pronájem,bytu,3,k,83,29500,"U michelského mlýna, Praha 4 - Michle, okres Praha",1
pronájem,bytu,3,1,102,48000,"Dřevná, Praha 2 - Nové Město, okres Praha",1
pronájem,bytu,2,k,38,17500,"Cimburkova, Praha 3 - Žižkov",1
pronájem,bytu,1,k,21,14490,"Cimburkova, Praha 3 - Žižkov",1
pronájem,bytu,3,1,77,23000,"Novodvorská, Praha 4 - Braník",1
pronájem,bytu,1,k,39,15000,"Třinecká, Praha 9 - Letňany",1
pronájem,bytu,3,1,124,85000,"Na Kampě, Praha 1 - Malá Strana",1
pronájem,bytu,4,k,93,38500,"Kodaňská, Praha 10 - Vršovice, okres Praha",1
pronájem,bytu,1,k,38,18850,"U Mlýnského kanálu, Praha 8 - Karlín",1
0,0,0,0,0,9500,"Štěrboholská, Praha 10 - Hostivař, okres Praha",1
pronájem,bytu,1,k,38,21000,"Křižíkova, Praha 8 - Karlín",1
pronájem,bytu,2,k,45,22000,"Zborovská, Praha 5 - Smíchov",1
pronájem,bytu,3,k,143,40000,"Pod kaštany, Praha 6 - Bubeneč",1
pronájem,bytu,4,1,164,58015,"Žatecká, Praha 1 - Josefov",1
pronájem,bytu,2,k,57,22000,"Chmelařská, Praha 5 - Jinonice",1
pronájem,bytu,3,1,120,49000,"U obecního dvora, Praha 1 - Staré Město",1
pronájem,bytu,1,k,41,21400,"Vinohradská, Praha 2 - Vinohrady",1
pronájem,bytu,1,1,50,17500,"Přístavní, Praha 7 - Holešovice, okres Praha",1
pronájem,bytu,2,k,67,35800,"Varšavská, Praha 2 - Vinohrady, okres Praha",1
pronájem,bytu,3,1,107,38000,"Sluneční náměstí, Praha 5 - Stodůlky",1
pronájem,bytu,2,k,36,17000,"U Roháčových kasáren, Praha 10 - Vršovice",1
pronájem,bytu,2,k,57,18000,"Kabešova, Praha 9 - Vysočany",1
pronájem,bytu,4,k,150,75000,"Na struze, Praha 1 - Nové Město",1
pronájem,bytu,3,k,85,30000,"Na Plzeňce, Praha 5 - Smíchov",1
pronájem,bytu,2,k,55,19500,"Hugo Haase, Praha 5 - Hlubočepy, okres Praha",1
pronájem,bytu,2,k,60,25000,"Piskáčkových, Praha 9 - Vysočany",1
pronájem,bytu,3,k,109,54000,"Laubova, Praha 3 - Vinohrady",1
pronájem,bytu,2,k,89,39000,"Laubova, Praha 3 - Vinohrady",1
pronájem,bytu,2,k,59,21000,"Naskové, Praha 5 - Košíře",1
pronájem,bytu,1,k,34,17900,"Strnadových, Praha 9 - Vysočany",1
pronájem,bytu,2,k,57,19000,"Křivá, Praha 3 - Žižkov, okres Praha",1
pronájem,bytu,3,k,102,49000,"K sídlišti, Praha 4 - Nusle",1
pronájem,bytu,1,k,22,17110,"Rašínovo nábřeží, Praha 2 - Nové Město",1
0,0,0,0,0,50470,"Italská, Praha 2 - Vinohrady",1
pronájem,bytu,3,k,69,32806,"Truhlářská, Praha 1 - Nové Město",1
pronájem,bytu,4,k,107,47947,"Truhlářská, Praha 1 - Nové Město",1
pronájem,bytu,3,k,94,50470,"Italská, Praha 2 - Vinohrady",1
pronájem,bytu,1,k,36,20500,"Mlýnská, Praha 6 - Bubeneč",1
pronájem,bytu,2,1,55,25500,"Odborů, Praha 2 - Nové Město",1
pronájem,bytu,3,1,82,43000,"Jungmannova, Praha 1 - Nové Město",1
pronájem,bytu,1,k,53,25000,"Mlýnská, Praha 6 - Bubeneč",1
pronájem,bytu,1,k,53,31500,"Mlýnská, Praha 6 - Bubeneč",1
pronájem,bytu,2,k,45,30000,"Holečkova, Praha 5 - Smíchov",1
pronájem,bytu,1,k,35,22500,"Odkolkova, Praha 9 - Vysočany",1
pronájem,bytu,1,k,37,16400,"Svitákova, Praha 5 - Stodůlky",1
pronájem,bytu,2,k,37,15000,"U křížku, Praha 4 - Nusle",1
pronájem,bytu,1,k,24,12500,"Loudova, Praha 3 - Žižkov",1
pronájem,bytu,2,k,60,19999,"Hájkova, Praha 3 - Žižkov",1
pronájem,bytu,3,1,112,40600,"Žatecká, Praha 1 - Josefov",1
pronájem,bytu,2,k,45,15000,"Přecechtělova, Praha 5 - Stodůlky, okres Praha",1
pronájem,bytu,2,k,66,24500,"Karla Engliše, Praha 5 - Smíchov",1
pronájem,bytu,2,k,45,18000,"Plamínkové, Praha 4 - Nusle",1
pronájem,bytu,2,1,80,32000,"Opletalova, Praha 1 - Nové Město",1
pronájem,bytu,4,k,177,130000,"Na hrobci, Praha 2 - Nové Město",1
pronájem,bytu,2,k,56,20000,"Na rovnosti, Praha 3 - Žižkov",1
pronájem,bytu,1,k,40,13000,"Holečkova, Praha 5",1
pronájem,bytu,1,1,51,17500,"Na rovnosti, Praha 3 - Žižkov",1
pronájem,bytu,3,k,162,48000,Praha 5,1
pronájem,bytu,3,k,63,22000,"Hanusova, Praha 4 - Michle",1
pronájem,bytu,2,1,65,23990,"V kolkovně, Praha 1 - Staré Město, okres Praha",1
pronájem,bytu,1,k,32,17990,"Na slupi, Praha 2 - Vyšehrad, okres Praha",1
pronájem,bytu,1,k,32,17990,"Na slupi, Praha 2 - Vyšehrad, okres Praha",1
pronájem,bytu,2,k,48,13990,"Grafická, Praha 5 - Smíchov, okres Praha",1
pronájem,bytu,1,k,27,11990,"Ronkova, Praha 8 - Libeň, okres Praha",1
pronájem,bytu,3,k,81,42000,"Vlašská, Praha 1 - Malá Strana",1
pronájem,bytu,1,k,32,15000,"Bartákova, Praha 4 - Krč",1
pronájem,bytu,1,1,36,16400,"Rumunská, Praha 2 - Vinohrady",1
pronájem,bytu,1,k,42,25000,"Střížkovská, Praha 8 - Střížkov",1
pronájem,bytu,3,k,79,45100,"U Pergamenky, Praha 7 - Holešovice",1
pronájem,bytu,3,1,121,44000,"Komornická, Praha 6 - Dejvice",1
pronájem,bytu,3,1,158,39000,"Petrská, Praha 1 - Nové Město",1
pronájem,bytu,2,1,39,26200,"U Pergamenky, Praha 7 - Holešovice",1
pronájem,bytu,3,k,71,39200,"U Pergamenky, Praha 7 - Holešovice",1
pronájem,bytu,1,k,35,21900,"U Pergamenky, Praha 7 - Holešovice",1
pronájem,bytu,1,k,35,21500,"U Pergamenky, Praha 7 - Holešovice",1
pronájem,bytu,2,k,46,15000,"U Uranie, Praha 7 - Holešovice",1
pronájem,bytu,2,k,40,17990,"Mládeže, Praha 6 - Břevnov",1
pronájem,bytu,1,k,39,15500,"Počernická, Praha 10 - Malešice",1
pronájem,bytu,5,k,200,48000,"V úžlabině, Praha 10 - Strašnice",1
pronájem,bytu,2,k,60,22000,"Honzíkova, Praha 10 - Dolní Měcholupy",1
